Branch,Category,Round,Domicile,MinP,MaxP,MeanP,StdP,TotalSeats,BranchSeats,TotalCandidates,Trend
AIML,EWS,R1_Upgrade,Y,0.7626015965785169,0.8887198257471987,0.8486359534501913,0.053983418128045746,57.4,5.4,1169627.2,0.029309439719694703
AIML,EWS,R2,Y,0.8771526732984528,0.9132542001772083,0.8915143381496391,0.016297002047224066,22.6,1.6,1169627.2,-0.0011224650633854833
AIML,FW/OP,R1,Y,0.9120142669419936,0.9415437430470956,0.9257607235700055,0.012566314076937432,76.25,3.0,1227282.0,0.009678527901317445
AIML,FW/OP,R1_Upgrade,Y,0.8812001015912279,0.923310440016731,0.9017854931314805,0.01931953834416276,58.25,2.25,1227282.0,0.01478814500792323
AIML,FW/OP,R2,Y,0.8748739137268992,0.9415437430470956,0.9179323088660385,0.031157938370115396,22.0,1.0,1227282.0,0.014439242903757454
AIML,OBC/X/F,INTERNAL,Y,0.8092790335582327,0.8092790335582327,0.8092790335582327,0.0,52.0,1.0,905590.0,0.0
AIML,OBC/X/F,R1,Y,0.7538530023173391,0.885436867042418,0.8430539036341476,0.05573530307545747,74.2,2.0,1169627.2,0.02944593373609157
AIML,OBC/X/F,R1_Upgrade,Y,0.7258372665621592,0.8466005424705936,0.8112218587406215,0.04986110304680043,57.4,1.8,1169627.2,0.026448246819185634
AIML,OBC/X/F,R2,Y,0.8462668133743516,0.8462668133743516,0.8462668133743516,0.0,19.0,2.0,1113325.0,0.0
AIML,OBC/X/OP,INTERNAL,Y,0.6098723333560523,0.8804796443087148,0.7861998716143312,0.09166964000500939,38.44444444444444,5.0,1135685.4444444445,0.05019279850134709
AIML,OBC/X/OP,R1,Y,0.8046097583833152,0.9051004872790964,0.8641617735999032,0.047939749362925325,74.2,12.0,1169627.2,0.025004621495438015
AIML,OBC/X/OP,R1_Upgrade,Y,0.6635406727099237,0.8804670693642916,0.7929057003193877,0.08308269990982467,57.4,15.2,1169627.2,0.039272131156840376
AIML,OBC/X/OP,R2,Y,0.8594793654580153,0.8727235982305257,0.8661014818442705,0.009365086805055222,22.0,4.5,1026166.5,0.006622116386255199
AIML,SC/X/F,INTERNAL,Y,0.24498062036904122,0.24498062036904122,0.24498062036904122,0.0,52.0,1.0,905590.0,0.0
AIML,SC/X/F,R1,Y,0.24498062036904122,0.7831765011586695,0.5526132391174036,0.20517440538690065,74.2,1.8,1169627.2,0.007552533504312818
AIML,SC/X/F,R1_Upgrade,Y,0.23525167654811285,0.2450262795208199,0.24013897803446638,0.0069116880454073385,59.5,1.5,1445106.5,0.009774602972707092
AIML,SC/X/OP,INTERNAL,Y,0.08718848785474642,0.42956729123322235,0.290126336555098,0.11140283303620674,35.875,2.875,1171946.5,-0.02120251981413179
AIML,SC/X/OP,R1,Y,0.06582117735399018,0.44888390844571535,0.2902348632230086,0.14157603041826927,74.2,18.2,1169627.2,0.058820205526750304
AIML,SC/X/OP,R1_Upgrade,Y,0.023201091720374767,0.42062261450381677,0.17768871489016067,0.17519425950318532,57.4,5.2,1169627.2,-0.061526671312211574
AIML,SC/X/OP,R2,Y,0.35684680002726277,0.7367295707486189,0.5052795029524637,0.1403985542119015,22.6,5.6,1169627.2,0.07788474459387573
AIML,ST/X/F,R2,Y,0.5863149895295448,0.5863149895295448,0.5863149895295448,0.0,30.0,1.0,1475103.0,0.0
AIML,ST/X/OP,R1,Y,0.40276109851121644,0.5373502731673653,0.47005568583929086,0.09516891807366346,74.5,1.0,1294214.0,0.0672945873280744
AIML,ST/X/OP,R2,Y,0.07329386490299317,0.07329386490299317,0.07329386490299317,0.0,30.0,2.0,1475103.0,0.0
